"產地","主旨","原因","進口商名稱","進口商地址","貨品分類號列","檢驗方法","不合格原因暨檢出量詳細說明","法規限量標準","製造廠或出口商名稱","製造商代碼","牌名","重量","處置情形","發布日期","報驗受理日期","附圖"
"印尼","春捲味脆餅","防腐劑含量不符規定","百嘉貿易有限公司","高雄市新興區和平一路199號12樓","1905.31.00.00-7","衛生福利部108年1月30日衛授食字第1081900155號公告修正「食品中防腐劑之檢驗方法(MOHWA0020.03)」;","檢出防腐劑己二烯酸0.2 g/kg，依據報驗義務人提供資料，己二烯酸為原料中蝦鬆帶入，己二烯酸合理帶入值應在0.12 g/kg以下，檢出值超過推算原料帶入之數值","依據「食品添加物使用範圍及限量暨規格標準」，防腐劑己二烯酸於魚貝類乾製品，用量以Sorbic Acid計為1.0 g/kg以下，本案不符合食品安全衛生管理法第18條規定。","INDOSNACK JAKARTA","","KERUPUK","30.00  CTN/300.00  ","案內不符合商品依規定退運或銷毀。","2025/03/11","2025/02/05","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638772953707837231"
"印度","鮮葡萄","農藥殘留含量不符規定","馥果企業有限公司","新北市板橋區公園街22號14樓","0806.10.00.00-4","食品藥物管理署公開建議檢驗方法「食品中殘留農藥檢驗方法－多重殘留分析方法(六)」(TFDAP0007.04)【自112.04.20生效】","檢出殘留農藥克美素0.01 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","TRIDENT AGROCOM EXPORTS LIMITED","","TRIDENT FRUITS","6,480.00  KGM/6,480.00  ","案內不符合商品依規定退運或銷毀。","2025/03/11","2025/02/14","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638772953863175882"
"印尼","脆皮花生","真菌毒素含量不符規定","明進貿易有限公司","臺南市仁德區太子里太子路101巷73號2樓","2008.11.92.00-4","衛生福利部109.09.02衛授食字第1091901654號公告檢驗方法「食品中黴菌毒素檢驗方法－黃麴毒素之檢驗」(MOHWT0001.04)","檢出黃麴毒素B1 5 µg/kg及總黃麴毒素6 µg/kg","依據「食品中污染物質及毒素衛生標準」，供直接食用之花生、油籽、黃豆，及其加工產品，去殼，黃麴毒素B1限量為2 µg/kg、總黃麴毒素限量為4 µg/kg，本案不符合食品安全衛生管理法第17條規定。","CV. GANGSAR","","GANGSAR","30.00  CTN/630.00  ","案內不符合商品依規定退運或銷毀。","2025/03/18","2025/02/20","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638778182148792549"
"越南","蘆筍","農藥殘留含量不符規定","榮科貿易有限公司","彰化縣大村鄉大村村大智路二段191號1樓","0709.20.00.20-6","衛生福利部111.08.17衛授食字第1111901537號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥百利普芬0.02 ppm","依據「農藥殘留容許量標準」，農藥百利普芬定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","LINH DAN SAI GON JOINT STOCK COMPANY","","","428.00  KGM/428.00  ","案內不符合商品依規定退運或銷毀。","2025/03/18","2025/02/18","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638778182197186237"
"越南","辣椒粉","含非法定著色劑","晉益貿易有限公司","台南市下營區和平街39號","0904.22.00.00-1","食品藥物管理署108.05.22公開建議檢驗方法-「食品中蘇丹色素之檢驗方法(二) (TFDAA0074.00)」","檢出蘇丹色素四號","屬未經中央主管機關許可之添加物，本案不符合食品安全衛生管理法第15條第1項第3款、第15條第1項第10款規定。","DACE CO.,LTD.","","","7,500.00  KGM/7,500.00  ","案內不符合商品依規定銷毀。","2025/03/18","2025/02/17","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638778182243665751"
"印尼","日月蛤","重金屬含量不符規定","順馨發實業有限公司","高雄市小港區長青街54號(812)","0307.22.00.00-4","110年8月26日衛授食字第1101901802號公告「水產動物類、禽畜產品類及蜂蜜中重金屬檢驗方法(MOHWH0028.00)」","檢出重金屬鎘3 mg/kg","依據「食品中污染物質及毒素衛生標準」，鎘於貝類(不含殼)限量為1 mg/kg，本案不符合食品安全衛生管理法第17條規定。","CV. SINAR LAUT ABADI TUBAN","IT 079 - 16                                                                                                                                                                                             ","","3,550.50  KGM/3,550.50  ","案內不符合商品依規定退運或銷毀。","2025/03/18","2025/02/18","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638778182298488759"
"印尼","香蕉片","甜味劑含量不符規定","響恩有限公司","新北市板橋區滿平二街2巷1弄18號2樓","2008.99.91.90-1","衛生福利部109年9月9日衛授食字第1091901745號公告訂定-「食品中甜味劑之檢驗方法-多重分析」(MOHWA0030.00)」","檢出甜味劑環己基（代）磺醯胺酸0.02 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用之食品範圍，本案不符合食品安全衛生管理法第18條規定。","GALEN SNACK","","KERUPUPUPUK","14.00  CTN/84.00  ","案內不符合商品依規定退運或銷毀。","2025/03/18","2025/02/21","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638778182347857285"
"越南","海鮮味麵","農藥殘留含量不符規定","天藍實業有限公司","臺北市大安區和平東路2段177號9樓","1902.30.10.10-7","食品藥物管理署公開建議檢驗方法「食品中環氧乙烷及其反應產物2-氯乙醇之檢驗方法」(TFDAP0022.04)【自112.07.05生效】","檢出殘留農藥環氧乙烷0.5 mg/kg","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","VIETNAM FOOD INDUSTRIES JSC.","","VIFON","300.00  CTN/756.00  ","案內不符合商品依規定退運或銷毀。","2025/03/18","2025/02/25","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638778182395292870"
"印度","玉米澱粉","真菌毒素含量不符規定","三福生技股份有限公司","台北市中山區中山北路2段21號7樓","1108.12.00.00-5","衛生福利部109.09.02衛授食字第1091901654號公告檢驗方法「食品中黴菌毒素檢驗方法－黃麴毒素之檢驗」(MOHWT0001.04)","檢出黃麴毒素B1 3 μg/kg","依據「食品中污染物質及毒素衛生標準」，穀類加工製品之黃麴毒素B1限量為2 μg/kg，本案不符合食品安全衛生管理法第17條規定。","BLUECRAFT AGRO PVT.LTD.","","","44.00  TNE/44,000.00  ","案內不符合商品依規定退運或銷毀。","2025/03/18","2025/02/25","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638778182440489537"
"越南","蘆筍","農藥殘留含量不符規定","長昇全球貿易有限公司","彰化縣花壇鄉長沙村忠孝街216號1樓","0709.20.00.20-6","衛生福利部111.08.17衛授食字第1111901537號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥因得克0.1 ppm、得芬諾0.09 ppm","依據「農藥殘留容許量標準」，農藥因得克、得芬諾定量極限皆為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","LINH DAN NINH THUAN CO., LTD","","","839.00  KGM/839.00  ","案內不符合商品依規定退運或銷毀。","2025/03/25","2025/02/27","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638784898263394612"
"馬來西亞","混合香辛料","農藥殘留含量不符規定","科林商行有限公司","台北巿通化街139號1樓","0910.91.00.00-9","衛生福利部111.08.17衛授食字第1111901537號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥佈飛松0.09 ppm","依據「農藥殘留容許量標準」，農藥佈飛松定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。","GABAN SPICE MFG (M) SDN. BHD.","","","580.00  KGM/580.00  ","案內不符合商品依規定退運或銷毀。","2025/03/25","2025/02/18","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638784898338532313"
"泰國","波羅蜜乾","漂白劑含量不符規定","眾智國際投資有限公司","臺北市大安區信義路4段1號2樓","2008.99.91.90-1","衛生福利部111.11.18衛授食字第1111902258號公告檢驗方法「食品中二氧化硫之檢驗方法」","檢出二氧化硫0.94 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，准用亞硫酸鹽類漂白劑用量以SO2殘留量計為0.50 g/kg以下，本案不符合食品安全衛生管理法第18條規定。","TPK INTERFOODS COMPANY LIMITED","","SEED","1,250.00  BAG/100.00  ","案內不符合商品依規定退運或銷毀。","2025/03/25","2025/02/19","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638784898519477554"
"泰國","龍眼乾","漂白劑含量不符規定","眾智國際投資有限公司","臺北市大安區信義路4段1號2樓","2008.99.20.90-7","衛生福利部111.11.18衛授食字第1111902258號公告檢驗方法「食品中二氧化硫之檢驗方法」","檢出二氧化硫1.4 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，准用亞硫酸鹽類漂白劑用量以SO2殘留量計為0.50 g/kg以下，本案不符合食品安全衛生管理法第18條規定。","NANAFRUIT COMPANY LIMITED","","SEED","1,250.00  BAG/100.00  ","案內不符合商品依規定退運或銷毀。","2025/03/25","2025/02/19","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638784898620455698"
