crop,wavg_price,wavg_price_y1,wavg_price_y2,price_cv_y1,price_cv_y2,total_volume,trade_days,is_blanched,avg_daily_volume,availability,price_spread_ratio
FV6 辣椒 糯米椒,85.00905115765764,91.73183525185729,79.069259445051,0.44884253749234326,0.3737295698274504,1148958,595,False,1931.021848739496,1.0,0.9605010279338664
SN1 蓮藕,45.433917917335684,43.94541178966725,47.02781246788185,0.32942231018571855,0.5880360569063245,1148452,578,False,1986.9411764705883,0.9714285714285714,0.7010609420829849
FZ1 落花生 生,47.523311720534466,47.72635987544085,47.31345912346341,0.3543154783120467,0.35843182838052956,1096264,595,False,1842.4605042016806,1.0,0.2589971045951414
SV9 蘆筍 進口,209.54009733197657,194.82708376278833,239.38591837319206,0.3401927078656952,0.2843761650241575,1057412,595,False,1777.163025210084,1.0,0.3960745708743839
LN2 油菜 小松菜,27.807495828096194,28.42516266877539,27.162061787274283,0.711738142067091,0.7160794839551152,1029506,595,False,1730.2621848739495,1.0,0.44147692205298805
FK42 甜椒 彩色種 黃色,74.7055155087542,,74.7055155087542,,0.47557357237751285,1028935,271,False,3796.808118081181,0.45546218487394957,0.8574747678438752
SG5 大蒜 蒜頭,82.76070146748381,89.73788801408149,77.8482743663689,0.3256935123411774,0.2340453852872339,1017524,594,False,1713.003367003367,0.9983193277310924,0.6404656590790704
OB1 雪里紅,16.150158529475668,15.34448713215116,16.932334442924518,0.37106959022314545,0.303209559666122,1017161,592,False,1718.1773648648648,0.9949579831932773,0.05977967003277051
SO2 甘薯 芋仔甘薯,25.69547405417916,25.193271318691757,26.131113049911143,0.4377476849557829,0.5667948024023997,928955,591,False,1571.8358714043993,0.9932773109243698,0.6031094851936745
LM1 莧菜 紅莧菜,40.23404970745656,43.765696809033365,37.19849297062992,0.43322797693261855,0.40739434878041086,902601,591,False,1527.243654822335,0.9932773109243698,0.45583327974269283
LF3 蕹菜 水蕹菜,71.94998658241238,77.68699379431435,67.87372073976725,0.5111126002253529,0.4373483967749871,898075,536,False,1675.5130597014925,0.9008403361344538,0.4131244210461377
MX1 其他菇類,98.0744830956061,93.83758818802197,102.53881766231822,0.5275030026583293,0.3455456238141925,877967,595,False,1475.5747899159664,1.0,0.9926039293525496
LA0 甘藍 其他,7.908215960202042,11.908284004752593,6.7548832550629925,1.1572619634575594,0.5389193778716989,838636,123,False,6818.178861788618,0.20672268907563024,0.09004573283060928
SF1 韭菜 白頭,65.87770477515377,63.5972933668812,68.90681785872574,0.45504995242895874,0.36031517363969273,835282,594,False,1406.1986531986531,0.9983193277310924,0.4857099813559767
FK6 甜椒 水果彩椒,114.47371874053745,120.64451036319686,109.2520732859786,0.2778307265034638,0.25780886343004616,832228,595,False,1398.7025210084034,1.0,0.8769987614810945
LA91 甘藍 進口 初秋,25.107299023110542,,25.107299023110542,,0.37578609103479643,792106,86,False,9210.53488372093,0.14453781512605043,0.32840144329664567
LC90 包心白菜 進口 其他,62.18840207232832,,62.18840207232832,,0.4681873896383266,787520,213,False,3697.2769953051643,0.35798319327731093,0.5244285472020767
